"filename", "language", "YAML", "TypeScript", "JavaScript", "PostCSS", "TypeScript JSX", "TOML", "JSON", "JSON with Comments", "HTML", "Markdown", "Ignore", "Rust", "comment", "blank", "total"
"/Users/bytedance/Documents/WebEditorSketch/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"/Users/bytedance/Documents/WebEditorSketch/.trae/specs/build-web-video-editor-learning-demo/checklist.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 23, 114
"/Users/bytedance/Documents/WebEditorSketch/.trae/specs/build-web-video-editor-learning-demo/spec.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 112, 349
"/Users/bytedance/Documents/WebEditorSketch/.trae/specs/build-web-video-editor-learning-demo/tasks.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 22, 164
"/Users/bytedance/Documents/WebEditorSketch/Agent.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 322, 0, 0, 0, 92, 414
"/Users/bytedance/Documents/WebEditorSketch/Cargo.lock", "TOML", 0, 0, 0, 0, 0, 363, 0, 0, 0, 0, 0, 0, 2, 48, 413
"/Users/bytedance/Documents/WebEditorSketch/Cargo.toml", "TOML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/bytedance/Documents/WebEditorSketch/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 9, 35
"/Users/bytedance/Documents/WebEditorSketch/apps/docs/.vitepress/cache/deps/@theme_index.js", "JavaScript", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 276
"/Users/bytedance/Documents/WebEditorSketch/apps/docs/.vitepress/cache/deps/_metadata.json", "JSON", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 58
